transaction_id,fecha,anio,mes,nombre_mes,empresa,cliente_proveedor,categoria,subcategoria,tipo_movimiento,importe_limpio,moneda,canal_pago,estado,centro_coste,descripcion,referencia_externa,pais
TRX-100000,2026-01-29,2026,1,Enero,Nordic Capital SA,Banca Privada OLMJ S.L.N.E,Servicios,Soporte,Gasto,3997.05,EUR,Bizum,Pagado,Dirección,Función sobre sí lado clase.,REF-81482,España
TRX-100001,2024-01-31,2024,1,Enero,Nordic Capital SA,Soluciones Ibéricos S.Coop.,Impuestos,IVA,Ingreso,2897.0,EUR,SEPA,Pagado,Comercial,Costa a fuego derecha buena tal constitución.,REF-95181,España
TRX-100002,2025-04-04,2025,4,Abril,Iberia Finance SL,Calatayud & Asociados S.Com.,Impuestos,IVA,Gasto,2750.88,EUR,Tarjeta,Pagado,Operaciones,Hija españoles cuestión marcha menor teoría interior seguir.,REF-46421,España
TRX-100003,2024-04-04,2024,4,Abril,Iberia Finance SL,Fernandez & Asociados S.A.,Suministros,Oficina,Gasto,2750.9,EUR,Efectivo,Pagado,Finanzas,Lejos hospital ciencia señaló tampoco grupos período.,REF-70217,España
TRX-100004,2025-07-19,2025,7,Julio,Cresta Partners SA,Promociones Padilla S.A.T.,Impuestos,IVA,Gasto,6458.39,EUR,Efectivo,Pagado,Dirección,Precisamente hechos ese opinión banco centro llegó.,REF-19116,España
TRX-100005,2024-03-22,2024,3,Marzo,Iberia Finance SL,Hotel Morata & Asociados S.A.T.,Nómina,Bonos,Ingreso,4540.07,EUR,Paypal,Pagado,Operaciones,Puerto estoy uno humana sol.,REF-31319,España
TRX-100006,2024-09-30,2024,9,Septiembre,Andes Investments SL,Garcia y asociados S.Com.,Nómina,Seguridad Social,Ingreso,2413.29,EUR,SEPA,Pendiente,Comercial,Otras madrid entrada resultado sean empresas b tengo somos.,REF-70589,España
TRX-100007,2025-12-02,2025,12,Diciembre,Iberia Finance SL,Transportes Bou S.L.,Financiación,Préstamos,Gasto,4085.78,EUR,Transferencia,Pendiente,TI,Cómo medio análisis especialmente buen.,REF-45093,España
TRX-100008,2024-11-18,2024,11,Noviembre,Cresta Partners SA,Benigna Iglesias Alberdi S.L.,Otros,Regularización,Ingreso,3527.31,EUR,Bizum,Pagado,Operaciones,Acto quiero público república estaba.,REF-28301,España
TRX-100009,2024-09-26,2024,9,Septiembre,Andes Investments SL,Cruz y Santiago S.A.,Financiación,Comisiones,Gasto,924.6,EUR,Tarjeta,Cancelado,Comercial,R fecha universidad forma hubo consumo universidad.,REF-76784,España
TRX-100010,2024-06-05,2024,6,Junio,Cresta Partners SA,Despacho del Levante S.L.,Ventas,Venta producto,Ingreso,1741.73,EUR,Transferencia,Pagado,RRHH,Jamás material grado favor valor estaba dios hospital fuego estar.,REF-71348,España
TRX-100011,2025-11-27,2025,11,Noviembre,Cresta Partners SA,Compañía Española S.L.,Financiación,Préstamos,Ingreso,3656.63,USD,Efectivo,Pendiente,Operaciones,Imágenes época primera línea sistemas.,REF-24621,España
TRX-100012,2024-01-04,2024,1,Enero,Andes Investments SL,Infraestructuras Álamo S.L.N.E,Consultoría,Finanzas,Gasto,6162.59,EUR,SEPA,Rechazado,Dirección,Buscar propuesta mitad compañía viaje última boca puerta revolución.,REF-49117,Francia
TRX-100013,2024-07-22,2024,7,Julio,Atlantic Holdings SL,Dionisio Huguet Gomila S.A.,Financiación,Comisiones,Ingreso,2763.44,EUR,SEPA,Cancelado,RRHH,Energía proceso hizo mismo.,REF-10074,España
TRX-100014,2024-04-24,2024,4,Abril,Atlantic Holdings SL,Grupo Bauzà S.L.N.E,Logística,Transporte,Gasto,2311.93,EUR,Tarjeta,Pendiente,Finanzas,Mismo mano cargo ejemplo esto etapa civil pronto.,REF-21226,Portugal
TRX-100015,2026-02-23,2026,2,Febrero,Nordic Capital SA,Noemí Ramírez Falcón S.A.,Servicios,Asesoría,Ingreso,3300.72,EUR,SEPA,Pagado,RRHH,Libro papel oposición han resulta autor así fernando felipe.,REF-89507,España
TRX-100016,2026-02-12,2026,2,Febrero,Cresta Partners SA,Industrias JX S.Com.,Nómina,Seguridad Social,Ingreso,2237.71,EUR,Bizum,Pagado,TI,Puntos temas vida pasó asunto país encima.,REF-77839,España
TRX-100017,2024-03-06,2024,3,Marzo,Iberia Finance SL,Familia Guzmán S.A.,Nómina,Sueldos,Gasto,2665.6,EUR,Tarjeta,Pagado,Finanzas,Cerca entrar rodríguez nunca que niños jorge memoria verdad.,REF-19305,España
TRX-100018,2024-03-10,2024,3,Marzo,Atlantic Holdings SL,Fabián Falcó Martin S.A.T.,Ventas,Venta producto,Ingreso,3094.75,EUR,Tarjeta,Pagado,TI,Dejar gracias actitud vez experiencia.,REF-38080,España
TRX-100019,2025-04-29,2025,4,Abril,Grupo Meridian SA,Comercial Verdejo S.A.,Otros,Regularización,Ingreso,1692.63,EUR,Tarjeta,Pagado,Dirección,Bien donde podrá minutos pacientes habría.,REF-66498,España
TRX-100020,2026-01-16,2026,1,Enero,Cresta Partners SA,Familia Rius S.L.,Impuestos,Retenciones,Ingreso,4656.31,EUR,Bizum,Pagado,TI,Recursos comenzó noche vivir eran antonio boca cierto mal llevar.,REF-54473,Francia
TRX-100021,2024-07-15,2024,7,Julio,Andes Investments SL,Alimentación GDF S.Coop.,Servicios,Soporte,Ingreso,1521.97,EUR,Paypal,Pagado,TI,Nombre corte aspecto hacerlo único pasado volvió enfermedad p.,REF-42742,Francia
TRX-100022,2026-04-07,2026,4,Abril,Iberia Finance SL,Hermanos Calleja S.L.N.E,Servicios,Mantenimiento,Ingreso,1416.18,EUR,SEPA,Pendiente,Finanzas,Nombre dicen médico tal da fuera.,REF-40982,España
TRX-100023,2024-08-06,2024,8,Agosto,Iberia Finance SL,Frutos y asociados S.Coop.,Logística,Almacenaje,Gasto,3448.19,EUR,Transferencia,Cancelado,Operaciones,Victoria u tres espacio pueblo el sola.,REF-69638,España
TRX-100024,2026-01-05,2026,1,Enero,Nordic Capital SA,Distribuciones Sala y asociados S.Coop.,Financiación,Comisiones,Gasto,4479.75,EUR,Tarjeta,Cancelado,RRHH,Vida juicio lópez alguien período.,REF-81066,España
